iter	Passed	Remaining
376	447872	740118
377	449059	738927
378	450259	737759
379	451444	736567
380	452615	735351
381	453795	734150
382	454993	732979
383	456458	732234
384	457702	731135
385	459112	730297
386	460468	729372
387	461777	728370
388	462980	727200
389	464155	725986
390	465334	724779
391	466522	723585
392	467742	722441
393	468926	721241
394	470164	720125
395	471369	718957
396	472597	717823
397	473788	716634
398	474957	715412
399	476142	714213
400	477313	712995
401	478498	711796
402	479765	710720
403	480936	709500
404	482158	708355
405	483335	707145
406	484509	705931
407	485711	704758
408	486896	703559
409	488095	702381
410	489265	701161
411	490440	699949
412	491655	698793
413	492840	697595
414	494026	696399
415	495246	695249
416	496503	694153
417	497753	693044
418	498952	691864
419	500215	690773
420	501459	689656
421	502665	688485
422	503889	687339
423	505084	686152
424	506319	685020
425	507508	683826
426	508807	682779
427	510025	681623
428	511247	680471
429	512464	679313
430	513684	678158
431	514901	676999
432	516122	675846
433	517350	674701
434	518558	673529
435	519751	672338
436	520974	671187
437	522191	670026
438	523394	668847
439	524603	667676
440	525767	666449
441	526962	665260
442	528208	664136
443	529407	662951
444	530619	661784
445	531839	660625
446	533092	659508
447	534287	658319
448	535470	657114
449	536628	655878
450	537808	654670
451	539012	653492
452	540248	652353
453	541447	651168
454	542651	649989
455	543824	648772
456	545150	647739
457	546582	646828
458	547869	645745
459	549203	644717
460	550563	643716
461	551903	642692
462	553328	641765
463	554653	640720
464	555990	639688
465	557252	638568
466	558587	637531
467	559908	636476
468	561185	635371
469	562493	634301
470	563835	633267
471	565120	632168
472	566434	631101
473	567703	629983
474	568978	628871
475	570280	627787
476	571645	626772
477	572954	625695
478	574277	624631
479	575599	623566
480	576985	622568
481	578254	621443
482	579520	620315
483	580830	619232
484	582145	618154
485	583440	617054
486	584707	615923
487	585988	614807
488	587323	613747
489	588610	612635
490	589897	611523
491	591198	610424
492	592483	609308
493	593832	608257
494	595127	607150
495	596391	606011
496	597669	604884
497	598758	603567
498	599845	602249
499	600992	600992
500	602361	599956
501	604051	599238
502	605747	598521
503	607046	597410
504	608317	596271
505	609555	595099
506	610815	593949
507	612053	592775
508	613379	591688
509	614576	590475
510	615988	589468
511	617271	588336
512	618492	587146
513	619772	586010
514	620996	584821
515	622195	583609
516	623432	582432
517	624653	581241
518	625927	580098
519	627153	578910
520	628376	577720
521	629620	576549
522	630833	575348
523	632062	574163
524	633372	573051
525	634621	571883
526	635855	570701
527	637086	569516
528	638334	568346
529	639477	567083
530	640629	565828
531	641799	564590
532	642972	563355
533	644241	562203
534	645466	561012
535	646663	559798
536	647825	558553
537	649181	557475
538	650441	556314
539	651657	555116
540	652958	553988
541	654227	552834
542	655436	551628
543	656649	550426
544	657909	549263
545	659166	548098
546	660395	546908
547	661619	545714
548	662843	544521
549	664099	543353
550	665383	542209
551	666682	541075
552	667921	539892
553	669190	538734
554	670418	537542
555	671627	536335
556	672868	535153
557	674097	533962
558	675383	532816
559	676573	531593
560	677816	530412
561	679081	529248
562	680295	528044
563	681529	526856
564	682790	525688
565	684103	524560
566	685306	523346
567	686556	522169
568	687809	520994
569	689031	519795
570	690341	518662
571	691592	517484
572	692835	516301
573	694062	515105
574	695375	513973
575	696655	512815
576	697868	511609
577	699121	510431
578	700323	509216
579	701452	507948
580	702596	506691
581	703755	505446
582	704993	504257
583	706277	503101
584	707498	501900
585	708765	500731
586	710093	499606
587	711378	498448
588	712645	497278
589	713947	496132
590	715185	494942
591	716451	493770
592	717683	492575
593	718907	491374
594	720138	490178
595	721318	488947
596	722470	487697
597	723754	486537
598	725319	485564
599	726669	484446
600	727910	483255
601	729435	482251
602	730879	481192
603	732274	480100
604	733523	478911
605	734770	477722
606	736014	476529
607	737240	475326
608	738567	474186
609	739806	472991
610	741065	471807
611	742553	470769
612	743849	469608
613	745110	468424
614	746518	467332
615	747969	466266
616	749421	465199
617	750836	464109
618	752278	463033
619	753679	461932
620	755047	460810
621	756372	459660
622	757704	458514
623	759071	457389
624	760410	456246
625	761847	455161
626	763249	454054
627	764736	452996
628	766009	451811
629	767575	450798
630	768881	449631
631	770250	448500
632	771517	447309
633	772839	446150
634	774247	445040
635	775869	444051
636	777378	442996
637	778786	441881
638	780208	440775
639	781325	439495
640	782778	438404
641	784189	437289
642	785741	436251
643	786969	435033
644	788197	433814
645	789439	432603
646	790555	431323
647	791786	430106
648	793085	428926
649	794386	427746
650	795658	426551
651	796974	425379
652	798233	424175
653	799629	423045
654	800933	421865
655	802220	420676
656	803491	419478
657	804782	418291
658	806061	417096
659	807368	415916
660	808663	414730
661	809993	413561
662	811254	412357
663	812523	411156
664	813868	409994
665	815103	408775
666	816401	407588
667	817693	406398
668	818946	405188
669	820214	403986
670	821429	402757
671	822671	401542
672	823937	400338
673	825164	399115
674	826391	397892
675	827663	396690
676	829178	395605
677	830656	394500
678	832093	393375
679	833570	392268
680	835024	391149
681	836543	390059
682	837980	388931
683	839367	387778
684	840768	386630
685	842257	385523
686	843642	384366
687	845084	383235
688	846484	382085
689	847918	380948
690	849356	379813
691	850792	378676
692	852093	377478
693	853363	376267
694	854620	375049
695	856128	373941
696	857571	372803
697	859093	371699
698	860509	370548
699	861922	369395
700	863311	368231
701	864729	367079
702	866070	365893
703	867312	364665
704	868686	363492
705	870129	362348
706	871608	361218
707	873080	360084
708	874402	358887
709	875659	357663
710	876968	356461
711	878333	355281
712	879879	354172
713	881369	353041
714	882816	351892
715	884270	350744
716	885793	349622
717	887238	348469
718	888440	347220
719	889870	346060
720	891092	344819
721	892667	343713
722	894285	342624
723	895766	341479
724	897308	340358
725	898785	339211
726	900192	338036
727	901580	336854
728	902885	335640
729	904140	334408
730	905454	333197
731	906749	331979
732	908006	330747
733	909224	329501
734	910477	328267
735	911758	327043
736	913019	325812
737	914269	324577
738	915552	323354
739	916798	322118
740	918171	320926
741	919536	319730
742	920917	318540
743	922387	317380
744	923792	316197
745	925250	315031
746	926503	313795
747	927772	312564
748	929208	311390
749	930667	310222
750	932099	309044
751	933504	307857
752	934851	306650
753	936118	305418
754	937365	304178
755	938686	302962
756	939964	301732
757	941184	300483
758	942507	299267
759	943786	298037
760	945035	296798
761	946283	295558
762	947547	294323
763	948794	293082
764	950064	291849
765	951324	290613
766	952629	289390
767	953929	288166
768	955165	286922
769	956478	285701
770	957719	284458
771	958980	283222
772	960285	281998
773	961539	280759
774	962764	279512
775	964066	278287
776	965315	277046
777	966532	275797
778	967801	274562
779	969038	273318
780	970251	272068
781	971498	270826
782	972782	269596
783	974071	268366
784	975292	267118
785	976521	265872
786	977791	264637
787	979008	263388
788	980254	262146
789	981527	260912
790	982770	259670
791	984005	258425
792	985313	257200
793	986544	255954
794	987778	254710
795	989030	253470
796	990275	252228
797	991505	250982
798	992770	249745
799	994040	248510
800	995272	247264
801	996614	246046
802	998163	244879
803	999608	243685
804	1001140	242512
805	1002587	241317
806	1004029	240121
807	1005575	238948
808	1006795	237698
809	1007964	236436
810	1009135	235174
811	1010441	233944
812	1011740	232712
813	1013118	231498
814	1014560	230299
815	1016045	229108
816	1017451	227899
817	1018941	226708
818	1020393	225508
819	1021849	224308
820	1023129	223069
821	1024483	221846
822	1025730	220600
823	1027070	219374
824	1028338	218132
825	1029543	216877
826	1030776	215627
827	1031954	214367
828	1033114	213103
829	1034276	211839
830	1035461	210581
831	1036702	209334
832	1037889	208076
833	1039066	206816
834	1040217	205551
835	1041360	204286
836	1042541	203027
837	1043718	201768
838	1044981	200526
839	1046126	199262
840	1047292	198001
841	1048446	196739
842	1049625	195481
843	1050831	194229
844	1051986	192967
845	1053152	191708
846	1054363	190457
847	1055545	189201
848	1056723	187944
849	1057881	186684
850	1059077	185431
851	1060265	184177
852	1061415	182916
853	1062584	181659
854	1063753	180402
855	1064977	179155
856	1066171	177902
857	1067345	176646
858	1068501	175388
859	1069650	174129
860	1070830	172875
861	1072004	171620
862	1073213	170371
863	1074408	169119
864	1075564	167862
865	1076732	166607
866	1077969	165363
867	1079123	164106
868	1080353	162861
869	1081526	161607
870	1082678	160350
871	1083877	159101
872	1085091	157854
873	1086253	156599
874	1087432	155347
875	1088711	154109
876	1089876	152856
877	1091044	151603
878	1092306	150363
879	1093483	149111
880	1094663	147860
881	1095853	146610
882	1097042	145361
883	1098297	144120
884	1099498	142872
885	1100645	141618
886	1101823	140367
887	1103004	139117
888	1104193	137868
889	1105382	136620
890	1106567	135371
891	1107763	134123
892	1108958	132876
893	1110174	131631
894	1111378	130385
895	1112657	129147
896	1113877	127903
897	1115140	126664
898	1116342	125417
899	1117575	124175
900	1118760	122927
901	1119979	121682
902	1121252	120444
903	1122443	119197
904	1123646	117951
905	1124895	116711
906	1126117	115467
907	1127355	114225
908	1128543	112978
909	1129764	111734
910	1130969	110489
911	1132166	109244
912	1133498	108011
913	1134682	106764
914	1135851	105516
915	1137034	104269
916	1138286	103029
917	1139511	101786
918	1140772	100546
919	1141948	99299
920	1143151	98055
921	1144370	96812
922	1145633	95572
923	1146892	94333
924	1148129	93091
925	1149364	91849
926	1150565	90605
927	1151779	89362
928	1152986	88118
929	1154285	86881
930	1155469	85636
931	1156777	84400
932	1158049	83161
933	1159250	81917
934	1160478	80674
935	1161672	79430
936	1162891	78188
937	1164122	76946
938	1165437	75709
939	1166666	74468
940	1167915	73227
941	1169119	71984
942	1170418	70746
943	1171627	69503
944	1172892	68263
945	1174079	67019
946	1175325	65778
947	1176542	64536
948	1177761	63293
949	1179056	62055
950	1180240	60811
951	1181476	59570
952	1182733	58329
953	1183916	57086
954	1185153	55844
955	1186399	54604
956	1187665	53364
957	1188837	52120
958	1190079	50879
959	1191313	49638
960	1192611	48399
961	1193827	47157
962	1195079	45916
963	1196268	44673
964	1197482	43432
965	1198762	42192
966	1200013	40951
967	1201211	39709
968	1202465	38468
969	1203768	37229
970	1204986	35988
971	1206236	34747
972	1207438	33505
973	1208660	32264
974	1209883	31022
975	1211116	29781
976	1212317	28539
977	1213590	27299
978	1214781	26057
979	1216013	24816
980	1217185	23574
981	1218443	22333
982	1219619	21092
983	1220799	19850
984	1222031	18609
985	1223423	17371
986	1224610	16129
987	1225708	14887
988	1227133	13648
989	1228425	12408
990	1229521	11166
991	1230787	9925
992	1232121	8685
993	1233494	7445
994	1235074	6206
995	1236418	4965
996	1237721	3724
997	1239003	2482
998	1240172	1241
999	1241508	0
